primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_TUV-RGO,Rita,Loto,ASSISTANT_REGISTRATION_OFFICER,0910000029,r.loto,rita.loto@example.com,test
CRVS_OFFICE_TUV-RGO,Mika,Tui,DEPUTY_REGISTRAR_GENERAL,0910000027,m.tui,mika.tui@example.com,test
CRVS_OFFICE_TUV-RGO,Litia,Moce,NATIONAL_SYSTEM_ADMIN,0910000002,l.moce,litia.moce@example.com,test
CRVS_OFFICE_TUV-RGO,Tevita,Manu,NATIONAL_REGISTRAR,0910000001,t.manu,tevita.manu@example.com,test
CRVS_OFFICE_TUV-RGO,Pene,Tala,PERFORMANCE_MANAGER,0910000003,p.tala,pene.tala@example.com,test
CRVS_OFFICE_TUV-RGO,Sala,Pule,REGISTRATION_OFFICER,0910000028,s.pule,sala.pule@example.com,test
CRVS_OFFICE_TUV-RGO,Sina,Fou,REGISTRAR_GENERAL,0910000004,s.fou,sina.fou@example.com,test
CRVS_OFFICE_TUV-RGO,Toma,Fia,STATISTICS_OFFICER,0910000030,t.fia,toma.fia@example.com,test
HEALTH_FACILITY_TUV-PMH,Ana,Tiko,HEALTH_NOTIFIER,0910000005,a.tiko,ana.tiko@example.com,test
CRVS_OFFICE_TUV-001-001,Kele,Taufa,COURT_CLERK,0910000031,k.taufa,kele.taufa@example.com,test
CRVS_OFFICE_TUV-001-001,Malia,Funafuti,ISLAND_REGISTRAR,0910000032,m.funafuti,malia.funafuti@example.com,test
HEALTH_FACILITY_TUV-001-002,Eseta,Tekavatoetoe,HEALTH_NOTIFIER,0910000015,e.tekavatoetoe,eseta.tekavatoetoe@example.com,test
HEALTH_FACILITY_TUV-001-002,Fine,Tekavatoetoe,ISLAND_CLINIC_NOTIFIER,0910000039,f.tekavatoetoe,fine.tekavatoetoe@example.com,test
HEALTH_FACILITY_TUV-001-003,Pita,Lofeagai,HEALTH_NOTIFIER,0910000016,p.lofeagai,pita.lofeagai@example.com,test
HEALTH_FACILITY_TUV-001-003,Tofi,Lofeagai,ISLAND_CLINIC_NOTIFIER,0910000040,t.lofeagai,tofi.lofeagai@example.com,test
CRVS_OFFICE_TUV-002-001,Sione,Nanumea,ISLAND_REGISTRAR,0910000033,s.nanumea,sione.nanumea@example.com,test
HEALTH_FACILITY_TUV-002-002,Luisa,Nanumea,HEALTH_NOTIFIER,0910000017,l.nanumea.clinic,luisa.nanumea@example.com,test
HEALTH_FACILITY_TUV-002-002,Lisa,Nanumea,ISLAND_CLINIC_NOTIFIER,0910000041,l.nanumea.clinic2,lisa.nanumea@example.com,test
CRVS_OFFICE_TUV-003-001,Lea,Nanumaga,ISLAND_REGISTRAR,0910000034,l.nanumaga,lea.nanumaga@example.com,test
HEALTH_FACILITY_TUV-003-002,Fili,Nanumaga,HEALTH_NOTIFIER,0910000018,f.nanumaga.clinic,fili.nanumaga@example.com,test
HEALTH_FACILITY_TUV-003-002,Ano,Nanumaga,ISLAND_CLINIC_NOTIFIER,0910000042,a.nanumaga.clinic2,ano.nanumaga@example.com,test
CRVS_OFFICE_TUV-004-001,Ioane,Niutao,REGISTRAR,0910000009,i.niutao,ioane.niutao@example.com,test
CRVS_OFFICE_TUV-004-001,Kalolo,Niutao,ISLAND_REGISTRAR,0910000025,k.niutao,kalolo.niutao@example.com,test
HEALTH_FACILITY_TUV-004-002,Asena,Niutao,HEALTH_NOTIFIER,0910000019,a.niutao.clinic,asena.niutao@example.com,test
HEALTH_FACILITY_TUV-004-002,Melei,Niutao,ISLAND_CLINIC_NOTIFIER,0910000026,m.niutao,melei.niutao@example.com,test
CRVS_OFFICE_TUV-005-001,Mele,Nui,REGISTRAR,0910000010,m.nui,mele.nui@example.com,test
CRVS_OFFICE_TUV-005-001,Kalisa,Nui,ISLAND_REGISTRAR,0910000035,k.nui.kaupule,kalisa.nui@example.com,test
HEALTH_FACILITY_TUV-005-002,Tasi,Nui,HEALTH_NOTIFIER,0910000020,t.nui.clinic,tasi.nui@example.com,test
HEALTH_FACILITY_TUV-005-002,Mikaela,Nui,ISLAND_CLINIC_NOTIFIER,0910000043,m.nui.clinic2,mikaela.nui@example.com,test
CRVS_OFFICE_TUV-006-001,Tavita,Vaitupu,REGISTRAR,0910000011,t.vaitupu,tavita.vaitupu@example.com,test
CRVS_OFFICE_TUV-006-001,Tafoa,Vaitupu,ISLAND_REGISTRAR,0910000036,t.vaitupu.kaupule,tafoa.vaitupu@example.com,test
HEALTH_FACILITY_TUV-006-002,Kelepi,Vaitupu,HEALTH_NOTIFIER,0910000021,k.vaitupu.clinic,kelepi.vaitupu@example.com,test
